code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
200307;Jul.03;;Jul.03;;;;;;
200308;Aug.03;;Aug.03;;;;;;
200309;Sep.03;;Sep.03;;;;;;
200310;Okt.03;;Oct.03;;;;;;
200311;Nov.03;;Nov.03;;;;;;
200312;Dez.03;;Dec.03;;;;;;
200401;Jän.04;;Jan.04;;;;;;
200402;Feb.04;;Feb.04;;;;;;
200403;Mär.04;;Mar.04;;;;;;
200404;Apr.04;;Apr.04;;;;;;
200405;Mai.04;;May 04;;;;;;
200406;Jun.04;;Jun.04;;;;;;
200407;Jul.04;;Jul.04;;;;;;
200408;Aug.04;;Aug.04;;;;;;
200409;Sep.04;;Sep.04;;;;;;
200410;Okt.04;;Oct.04;;;;;;
200411;Nov.04;;Nov.04;;;;;;
200412;Dez.04;;Dec.04;;;;;;
200501;Jän.05;;Jan.05;;;;;;
200502;Feb.05;;Feb.05;;;;;;
200503;Mär.05;;Mar.05;;;;;;
200504;Apr.05;;Apr.05;;;;;;
200505;Mai.05;;May 05;;;;;;
200506;Jun.05;;Jun.05;;;;;;
200507;Jul.05;;Jul.05;;;;;;
200508;Aug.05;;Aug.05;;;;;;
200509;Sep.05;;Sep.05;;;;;;
200510;Okt.05;;Oct.05;;;;;;
200511;Nov.05;;Nov.05;;;;;;
200512;Dez.05;;Dec.05;;;;;;
200601;Jän.06;;Jan.06;;;;;;
200602;Feb.06;;Feb.06;;;;;;
200603;Mär.06;;Mar.06;;;;;;
200604;Apr.06;;Apr.06;;;;;;
200605;Mai.06;;May 06;;;;;;
200606;Jun.06;;Jun.06;;;;;;
200607;Jul.06;;Jul.06;;;;;;
200608;Aug.06;;Aug.06;;;;;;
200609;Sep.06;;Sep.06;;;;;;
200610;Okt.06;;Oct.06;;;;;;
200611;Nov.06;;Nov.06;;;;;;
200612;Dez.06;;Dec.06;;;;;;
200701;Jän.07;;Jan.07;;;;;;
200702;Feb.07;;Feb.07;;;;;;
200703;Mär.07;;Mar.07;;;;;;
200704;Apr.07;;Apr.07;;;;;;
200705;Mai.07;;May 07;;;;;;
200706;Jun.07;;Jun.07;;;;;;
200707;Jul.07;;Jul.07;;;;;;
200708;Aug.07;;Aug.07;;;;;;
200709;Sep.07;;Sep.07;;;;;;
200710;Okt.07;;Oct.07;;;;;;
200711;Nov.07;;Nov.07;;;;;;
200712;Dez.07;;Dec.07;;;;;;
200801;Jän.08;;Jan.08;;;;;;
200802;Feb.08;;Feb.08;;;;;;
200803;Mär.08;;Mar.08;;;;;;
200804;Apr.08;;Apr.08;;;;;;
200805;Mai.08;;May 08;;;;;;
200806;Jun.08;;Jun.08;;;;;;
200807;Jul.08;;Jul.08;;;;;;
200808;Aug.08;;Aug.08;;;;;;
200809;Sep.08;;Sep.08;;;;;;
200810;Okt.08;;Oct.08;;;;;;
200811;Nov.08;;Nov.08;;;;;;
200812;Dez.08;;Dec.08;;;;;;
200901;Jän.09;;Jan.09;;;;;;
200902;Feb.09;;Feb.09;;;;;;
200903;Mär.09;;Mar.09;;;;;;
200904;Apr.09;;Apr.09;;;;;;
200905;Mai.09;;May 09;;;;;;
200906;Jun.09;;Jun.09;;;;;;
200907;Jul.09;;Jul.09;;;;;;
200908;Aug.09;;Aug.09;;;;;;
200909;Sep.09;;Sep.09;;;;;;
200910;Okt.09;;Oct.09;;;;;;
200911;Nov.09;;Nov.09;;;;;;
200912;Dez.09;;Dec.09;;;;;;
201001;Jän.10;;Jan.10;;;;;;
201002;Feb.10;;Feb.10;;;;;;
201003;Mär.10;;Mar.10;;;;;;
201004;Apr.10;;Apr.10;;;;;;
201005;Mai.10;;May 10;;;;;;
201006;Jun.10;;Jun.10;;;;;;
201007;Jul.10;;Jul.10;;;;;;
201008;Aug.10;;Aug.10;;;;;;
201009;Sep.10;;Sep.10;;;;;;
201010;Okt.10;;Oct.10;;;;;;
201011;Nov.10;;Nov.10;;;;;;
201012;Dez.10;;Dec.10;;;;;;
201101;Jän.11;;Jan.11;;;;;;
201102;Feb.11;;Feb.11;;;;;;
201103;Mär.11;;Mar.11;;;;;;
201104;Apr.11;;Apr.11;;;;;;
201105;Mai.11;;May 11;;;;;;
201106;Jun.11;;Jun.11;;;;;;
201107;Jul.11;;Jul.11;;;;;;
201108;Aug.11;;Aug.11;;;;;;
201109;Sep.11;;Sep.11;;;;;;
201110;Okt.11;;Oct.11;;;;;;
201111;Nov.11;;Nov.11;;;;;;
201112;Dez.11;;Dec.11;;;;;;
201201;Jän.12;;Jan.12;;;;;;
201202;Feb.12;;Feb.12;;;;;;
201203;Mär.12;;Mar.12;;;;;;
201204;Apr.12;;Apr.12;;;;;;
201205;Mai.12;;May 12;;;;;;
201206;Jun.12;;Jun.12;;;;;;
201207;Jul.12;;Jul.12;;;;;;
201208;Aug.12;;Aug.12;;;;;;
201209;Sep.12;;Sep.12;;;;;;
201210;Okt.12;;Oct.12;;;;;;
201211;Nov.12;;Nov.12;;;;;;
201212;Dez.12;;Dec.12;;;;;;
201301;Jän.13;;Jan.13;;;;;;
201302;Feb.13;;Feb.13;;;;;;
201303;Mär.13;;Mar.13;;;;;;
201304;Apr.13;;Apr.13;;;;;;
201305;Mai.13;;May 13;;;;;;
201306;Jun.13;;Jun.13;;;;;;
201307;Jul.13;;Jul.13;;;;;;
201308;Aug.13;;Aug.13;;;;;;
201309;Sep.13;;Sep.13;;;;;;
201310;Okt.13;;Oct.13;;;;;;
201311;Nov.13;;Nov.13;;;;;;
201312;Dez.13;;Dec.13;;;;;;
201401;Jän.14;;Jan.14;;;;;;
201402;Feb.14;;Feb.14;;;;;;
201403;Mär.14;;Mar.14;;;;;;
201404;Apr.14;;Apr.14;;;;;;
201405;Mai.14;;May 14;;;;;;
201406;Jun.14;;Jun.14;;;;;;
201407;Jul.14;;July14;;;;;;
201408;Aug.14;;Aug.14;;;;;;
201409;Sep.14;;Sep.14;;;;;;
201410;Okt.14;;Oct.14;;;;;;
201411;Nov.14;;Nov.14;;;;;;
201412;Dez.14;;Dec.14;;;;;;
201501;Jan.15;;Jan.15;;;;;;
201502;Feb.15;;Feb.15;;;;;;
201503;Mär.15;;Mar.15;;;;;;
201504;Apr.15;;Apr.15;;;;;;
201505;Mai.15;;May 15;;;;;;
201506;Jun.15;;Jun.15;;;;;;
201507;Jul.15;;Jul.15;;;;;;
201508;Aug.15;;Aug.15;;;;;;
201509;Sep.15;;Sep.15;;;;;;
201510;Okt.15;;Oct.15;;;;;;
201511;Nov.15;;Nov.15;;;;;;
201512;Dez.15;;Dec.15;;;;;;
201601;Jan.16;;Jan.16;;;;;;
201602;Feb.16;;Feb.16;;;;;;
201603;Mär.16;;Mar.16;;;;;;
201604;Apr.16;;Apr.16;;;;;;
201605;Mai.16;;May 16;;;;;;
201606;Jun.16;;Jun.16;;;;;;
201607;Jul.16;;Jul.16;;;;;;
201608;Aug.16;;Aug.16;;;;;;
201609;Sep.16;;Sep.16;;;;;;
201610;Okt.16;;Oct.16;;;;;;
201611;Nov.16;;Nov.16;;;;;;
201612;Dez.16;;Dec.16;;;;;;
201701;Jan.17;;Jan.17;;;;;;
201702;Feb.17;;Feb.17;;;;;;
201703;Mär.17;;Mar.17;;;;;;
