C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
197401;W96-6;84;2155;17183
197401;W96-6;60;14006;113991
197401;W96-6;75;268;6131
197401;W96-6;72;29;428
197401;W96-6;74;373;4819
197401;W96-6;998;432;4928
197401;W96-6;999;979;6151
197401;W96-7;01;36641;248241
197401;W96-7;02;46789;331714
197401;W96-7;03;117869;951524
197401;W96-7;70;329;10369
197401;W96-7;81;972;6717
197401;W96-7;73;2527;17484
197401;W96-7;71;86;488
197401;W96-7;83;735;6116
197401;W96-7;84;2661;19425
197401;W96-7;60;63756;564329
197401;W96-7;75;364;4010
197401;W96-7;74;126;596
197401;W96-7;998;4528;24095
197401;W96-7;999;993;9364
197401;W96-8;01;13655;101776
197401;W96-8;02;13743;97737
197401;W96-8;03;21352;177379
197401;W96-8;70;589;6153
197401;W96-8;81;1348;8821
197401;W96-8;73;585;6817
197401;W96-8;83;279;1225
197401;W96-8;84;1414;7939
197401;W96-8;60;20545;175077
197401;W96-8;75;126;5524
197401;W96-8;74;107;893
197401;W96-8;998;550;1150
197401;W96-8;999;2551;18578
197401;W96-9;01;25933;66036
197401;W96-9;02;13884;41729
197401;W96-9;03;10127;40111
197401;W96-9;70;39;364
197401;W96-9;81;3190;17514
197401;W96-9;84;99;436
197401;W96-9;75;84;500
197402;W96-1;01;315;2512
197402;W96-1;02;1507;7190
197402;W96-1;03;1297;4506
197402;W96-1;81;358;639
197402;W96-1;71;253;7122
197402;W96-1;84;251;735
197402;W96-1;60;115;667
197402;W96-1;72;110;1751
197402;W96-1;74;215;3669
197402;W96-1;998;39;51
197402;W96-2;01;10638;63458
197402;W96-2;02;8858;48217
197402;W96-2;03;14892;76997
197402;W96-2;70;2;24
197402;W96-2;81;562;2032
197402;W96-2;73;132;486
197402;W96-2;83;339;1758
197402;W96-2;84;2050;18347
197402;W96-2;60;2000;15588
197402;W96-2;74;16;57
197402;W96-2;999;99;437
197402;W96-3;01;3657;13053
197402;W96-3;02;7502;37455
197402;W96-3;03;23539;113224
197402;W96-3;70;239;816
197402;W96-3;81;649;2960
197402;W96-3;73;342;6522
197402;W96-3;71;1170;20309
197402;W96-3;83;713;1296
197402;W96-3;84;1215;7368
197402;W96-3;60;6733;38061
197402;W96-3;75;226;8015
197402;W96-3;74;2880;37595
197402;W96-3;998;313;1178
197402;W96-3;999;656;5605
197402;W96-4;01;9040;31827
197402;W96-4;02;13225;40579
197402;W96-4;03;18295;102877
197402;W96-4;81;2063;9487
197402;W96-4;73;1221;8028
197402;W96-4;71;1680;43725
197402;W96-4;83;919;3358
197402;W96-4;84;1159;5982
197402;W96-4;60;3998;28696
197402;W96-4;75;1;24
197402;W96-4;72;415;7757
197402;W96-4;74;841;8976
197402;W96-4;998;38;412
197402;W96-4;999;810;8925
197402;W96-5;01;21752;126385
197402;W96-5;02;58984;395524
197402;W96-5;03;52800;330893
197402;W96-5;70;72;559
197402;W96-5;81;4360;24107
197402;W96-5;73;12369;84694
197402;W96-5;71;1811;20602
197402;W96-5;83;730;3351
197402;W96-5;84;2708;23079
197402;W96-5;60;29490;193594
197402;W96-5;72;335;3645
197402;W96-5;74;383;3788
197402;W96-5;998;8977;56606
197402;W96-5;999;15490;105307
197402;W96-6;01;11172;32923
197402;W96-6;02;15823;72654
197402;W96-6;03;43471;237149
197402;W96-6;70;77;337
197402;W96-6;81;2747;15445
197402;W96-6;73;691;7744
197402;W96-6;71;266;7423
197402;W96-6;83;1008;5455
197402;W96-6;84;2822;19136
197402;W96-6;60;20491;145015
197402;W96-6;75;231;6096
197402;W96-6;72;37;629
197402;W96-6;74;469;4576
197402;W96-6;998;355;3339
197402;W96-6;999;1623;13146
197402;W96-7;01;42685;283276
197402;W96-7;02;51857;354927
197402;W96-7;03;123919;911897
197402;W96-7;70;352;6191
197402;W96-7;81;1709;7477
197402;W96-7;73;2450;17115
197402;W96-7;71;54;1404
197402;W96-7;83;534;4851
197402;W96-7;84;1547;13259
197402;W96-7;60;60051;449409
197402;W96-7;75;386;4480
197402;W96-7;74;442;3598
197402;W96-7;998;2266;16727
197402;W96-7;999;2525;10839
197402;W96-8;01;14570;93563
197402;W96-8;02;16168;105312
197402;W96-8;03;25343;173085
197402;W96-8;70;516;4192
197402;W96-8;81;1521;7561
197402;W96-8;73;617;5708
197402;W96-8;83;30;70
197402;W96-8;84;1061;5584
197402;W96-8;60;20660;127074
197402;W96-8;75;76;1643
197402;W96-8;74;132;381
197402;W96-8;999;1849;15310
197402;W96-9;01;27246;66783
197402;W96-9;02;12908;38261
197402;W96-9;03;9533;39655
197402;W96-9;70;29;93
197402;W96-9;81;2693;16062
197402;W96-9;84;164;566
197402;W96-9;75;57;473
197403;W96-1;01;355;3739
197403;W96-1;02;1969;9339
197403;W96-1;03;1975;6864
197403;W96-1;81;275;493
197403;W96-1;71;256;8073
197403;W96-1;84;184;563
197403;W96-1;60;223;2044
197403;W96-1;72;131;2003
197403;W96-1;74;206;3950
197403;W96-1;998;22;28
